userId,rec_1,rec_2,rec_3,rec_4,rec_5
2766187446275090740,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Reactive log stream processing with RxJava - Part I,Android Developers Summer Reading List,Java 8 Streams - A Deeper Approach About Performance Improvement,Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog
-1479311724257856983,Deep Learning Demystified,A Beginner's Guide To Understanding Convolutional Neural Networks,Machine Learning is Fun! Part 3: Deep Learning and Convolutional Neural Networks,Why Deep Learning Is Suddenly Changing Your Life,My Top 9 Favorite Python Deep Learning Libraries - PyImageSearch
-108842214936804958,Frequently asked questions about design sprints - InVision Blog,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,10 Simple Habits of Insanely Productive People,Scrum Community - Scrum Alliance,Practical Frameworks for Beating Burnout
7022645187549453002,Introducing the Google API Console,Things you probably didn't know you could do with Chrome's Developer Console,The Top 10 Most Common Mistakes That Node.js Developers Make,"Cloud Shell now GA, and still free",Prototypal Object-Oriented Programming using JavaScript
6879394870211872116,Inbox by Gmail ganha formatação de texto | Google Discovery,Google lança experimentos com inteligência artificial | Google Discovery,App do YouTube ganha sistema de bate-papo privado | Google Discovery,Login sem senha no Android deve chegar até o final de 2016 | Google Discovery,Android irá recomendar aplicativos baseado na localização | Google Discovery
-1387464358334758758,Powering a more connected and collaborative enterprise,Google connects BigQuery to Google Drive and Sheets,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,This year's Founders' Letter,Introducing Google Cloud Search: Bringing the power of Google Search to G Suite customers
-8424644554119645763,Pinterest Reinvents Itself to Prove It's Really Worth Billions,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,How Apple Keyboards Lost a Logo and Windows PCs Gained One,What Pinterest learned in two years working on its search engine,How Android gets to 100% market share
-1602833675167376798,How Inflation Is Stealing Your Money: Can Cryptocurrency Solve Inflation on a Global Scale?,Banks find blockchain hard to put into practice - FT.com,Governments vs Bitcoin: A Fight For Control,Banks Need To Collaborate With Bitcoin and Fintech Developers,Are you a bitcoin denialist? - Chris Skinner's blog
5621833459783231486,Google Play Books Now Analyzes Your Reading Habits and Recommends New Books,Get your apps and games ready for space with Google Play | Android Developers Blog,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,Introducing the new Google Play Music,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!"
-2626634673110551643,Introduction To Chatbots,How Facebook's Big Bet On Chatbots Might Remake The UX Of The Web,Why 2016 is shaping up to be the Year of the Bot,How will bots make money? Here are 7 business models,To bot or not to bot
-6153009241569363021,TechCrunch launches a personalized news recommendations bot on Facebook Messenger,How bot-to-bot could soon replace APIs,How to Start a Telegram Bot With PHP,Develop your first Facebook messenger bot in PHP,How will bots make money? Here are 7 business models
-4585796377251906117,Time to Re-Think Design Thinking,The Future of Business is Design,What exactly is a design culture? ,Three Lessons for Design-Driven Success,Calm down: Google's use of Material Design on iOS is fine
-2339455719722814827,A minha viagem à Maternidade #tetodomundo,O dia em que tive mais medo de estar errada.,Este texto do Ranieri é a melhor coisa que você lerá hoje,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,"""Não, você não aceita a homossexualidade ainda..."""
4340306774493623681,Announcing new storage classes for Google Cloud Storage: simplifying the storage and management of hot and cold data,From fine wine to lotteries: Blockchain tech takes off - BBC News,Google Cloud Platform: The smart person's guide - TechRepublic,Decentralizing IoT networks through blockchain,Solidity Available in Visual Studio - Ethereum Blog
5683029675627635125,TechCrunch launches a personalized news recommendations bot on Facebook Messenger,How bot-to-bot could soon replace APIs,How to Start a Telegram Bot With PHP,Develop your first Facebook messenger bot in PHP,How will bots make money? Here are 7 business models
-1443636648652872475,Google Cloud Platform: The smart person's guide - TechRepublic,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic",While doves were crying: this week on Google Cloud Platform,Google Cloud Platform sets a course for new horizons,Google Cloud Platform for AWS Professionals
3891637997717104548,Cloud Identity and Access Management - Google IAM,Snapchat shares security best practices for running on GCP,Centrally manage all your Google Cloud resources with Cloud Resource Manager,AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%),Google Cloud Platform: The smart person's guide - TechRepublic
-2050699458865052139,Deep Learning Demystified,A Beginner's Guide To Understanding Convolutional Neural Networks,"Hexagonal != Layers

",The Mobile Growth Stack: 2017 Edition - Mobile Growth Stack,rasbt/python-machine-learning-book
3429602690322213789,TechCrunch launches a personalized news recommendations bot on Facebook Messenger,How bot-to-bot could soon replace APIs,How to Start a Telegram Bot With PHP,Develop your first Facebook messenger bot in PHP,How will bots make money? Here are 7 business models
-2772844562500836582,Google Cloud Platform sets a course for new horizons,Google Cloud Platform: The smart person's guide - TechRepublic,"Introducing Cloud Natural Language API, Speech API open beta and our West Coast region expansion",What's the Best Cloud? Probably GCP,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic"
22763587941636338,TechCrunch launches a personalized news recommendations bot on Facebook Messenger,How bot-to-bot could soon replace APIs,How to Start a Telegram Bot With PHP,Develop your first Facebook messenger bot in PHP,How will bots make money? Here are 7 business models
-7990997793599977496,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,A minha viagem à Maternidade #tetodomundo,Vídeos motivacionais: os 21 vídeos mais incríveis.,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,"SINAIS do FUTURO imediato: #1, internet das coisas"
3094513233385472738,Ahead of the curve: The future of performance management,Five priorities for competing in an era of digital globalization,How to Create a Unified Culture in a Company With Multiple Offices,Building organizational capabilities: McKinsey Global Survey results,Changing change management
-6998647087289883231,Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,SyntaxNet in context: Understanding Google's new TensorFlow NLP model | Blog,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities","Introducing Cloud Natural Language API, Speech API open beta and our West Coast region expansion",Making Sense of Unstructured Data with Google Cloud NL API
8766802480854827422,VR possibilities at Google I/O 2016: Four things I'm hoping to see,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,Diane Greene wants to put the enterprise front and center of Google Cloud strategy,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",Google Cloud Platform: The smart person's guide - TechRepublic
5404470824348262768,The Physical Web,"Samsung, SapientRazorfish Show IoT Retail Approach At NRF",Google Cloud Platform: The smart person's guide - TechRepublic,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,Most Interesting APIs in 2016: Cognitive Computing
-1994081661238157543,Calm down: Google's use of Material Design on iOS is fine,Introducing Casting into Hangouts,10 Multipurpose Material Design Themes to Make Your Projects 10 Times Better,8 things to expect from Google's biggest event of the year,"Chrome 52 Beta: CSS containment, simpler performance measurement, streamable responses from service workers, and more options for web push"
-7496361692498935601,"Clientes poderão abrir e fechar conta corrente pela internet, estabelece CMN",Você poderá abrir ou fechar uma conta corrente pela internet | Tecnoblog,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,Como o Banco do Brasil está inovando e incentivando o intraempreendedorismo,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo
-1367575386492755119,IBM Watson: Talking To An Ad,IBM Watson is about to make Slack's chat bot smarter,IBM wants to bring machine learning to the mainframe,IBM Watson is Working to Bring AI to the Blockchain - CoinDesk,"Apple &amp; IBM launch first 'MobileFirst for iOS' education app, IBM Watson Element"
4947619689618669252,Rede Agricultura de Precisão II,"Agronegócio entra na era da agricultura digital | Economia, Notícias | Tribuna PR - Paraná Online","""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",MOBILE TIME - Drones vão ajudar pequenos agricultores no Brasil,"Conheça as ferramentas digitais que utilizo na minha empresa para resolver problemas, tornar o..."
693665567872370395,Google Cloud Platform: The smart person's guide - TechRepublic,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic",What's the Best Cloud? Probably GCP,Analyst: Google's cloud business could cause the stock to soar to over $900,Google Cloud Platform for AWS Professionals
5127372011815639401,A Baseline for Hybrid Mobile Developers,20+ Docs and Guides for Front-end Developers (No. 9),Leveling Up Your JavaScript -,15 Interesting JavaScript and CSS Libraries for September 2016,Spotify's Latest Algorithmic Playlist Is Full of Your Favorite New Music
-2511855597392146401,"Clientes poderão abrir e fechar conta corrente pela internet, estabelece CMN",Você poderá abrir ou fechar uma conta corrente pela internet | Tecnoblog,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,Como o Banco do Brasil está inovando e incentivando o intraempreendedorismo,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo
-6668715715951053690,Rede Agricultura de Precisão II,"Agronegócio entra na era da agricultura digital | Economia, Notícias | Tribuna PR - Paraná Online","""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",MOBILE TIME - Drones vão ajudar pequenos agricultores no Brasil,"Conheça as ferramentas digitais que utilizo na minha empresa para resolver problemas, tornar o..."
1120069409160402054,Rede Agricultura de Precisão II,"Agronegócio entra na era da agricultura digital | Economia, Notícias | Tribuna PR - Paraná Online","""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",MOBILE TIME - Drones vão ajudar pequenos agricultores no Brasil,"Conheça as ferramentas digitais que utilizo na minha empresa para resolver problemas, tornar o..."
2111379813881770134,Rede Agricultura de Precisão II,"Agronegócio entra na era da agricultura digital | Economia, Notícias | Tribuna PR - Paraná Online","""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",MOBILE TIME - Drones vão ajudar pequenos agricultores no Brasil,"Conheça as ferramentas digitais que utilizo na minha empresa para resolver problemas, tornar o..."
670878778036881163,Building a Facebook Chat Bot with Node and Heroku,How to Start a Telegram Bot With PHP,TechCrunch launches a personalized news recommendations bot on Facebook Messenger,How bot-to-bot could soon replace APIs,Introducing Mini Courses with MS Chatbots
-3390049372067052505,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",Introducing Style Detection for Google Cloud Vision API,Machine learning at the museum: this week on Google Cloud Platform,"Finally, CSS In JavaScript! Meet CSSX - Smashing Magazine",How To Avoid Equidistant HSV Colors
3165343501485572509,Confira as novidades apresentadas no Google I/O 2016,Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,Especialistas trazem tendências de UX para 2017 - KingHost,"Conheça as ferramentas digitais que utilizo na minha empresa para resolver problemas, tornar o...",[Books] Biblioteca FIXE: Sugestões de Leitura
-8306418824693202277,"Microsoft comprará LinkedIn por 26,2 bilhões de dólares | EXAME.com",Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Por que o Walmart não é Walmart no Brasil,"SINAIS do FUTURO imediato: #1, internet das coisas",Degraus para o sucesso: a inovação no core do negócio
3636910968448833585,Ethereum Used for 'First' Paid Energy Trade Using Blockchain Tech - CoinDesk,NOW NEW NEXT: How growth champions create new value,Mining in Space Could Lead to Conflicts on Earth - Facts So Romantic - Nautilus,Building organizational capabilities: McKinsey Global Survey results,Larry Page's dream of building a 'Google Island' could be coming true
-9016528795238256703,Bots won't replace apps. Better apps will replace apps.,Google will show AMP URLs before App deep link URLs in mobile results,The End Of Apps As We Know Them - Inside Intercom,Mobile UX Design: The Right Ways to Ask Users for Permissions - UX Planet,How to use Docker to run ASP.NET Core apps on Google App Engine
6935578859207277054,Mudanças na App Store podem não conquistar desenvolvedores | EXAME.com,Confira as novidades apresentadas no Google I/O 2016,Especialistas trazem tendências de UX para 2017 - KingHost,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog
3915038251784681624,Olhando para o futuro: 5 pontos de atenção,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"SINAIS do FUTURO imediato: #1, internet das coisas","Por dentro do Nubank, conheça os segredos da fintech mais festejada do país"
7584856762328012632,Angular 2,How to make Multi-Layered Parallax Illustration with CSS & Javascript,Using artificial intelligence to revolutionize diabetes treatment,A Single App That'll Wrangle Your Millions of Messengers,TechCrunch launches a personalized news recommendations bot on Facebook Messenger
7565903375902761063,"Microsoft comprará LinkedIn por 26,2 bilhões de dólares | EXAME.com",Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Por que o Walmart não é Walmart no Brasil,"SINAIS do FUTURO imediato: #1, internet das coisas",Degraus para o sucesso: a inovação no core do negócio
-2457136404620190048,Olhando para o futuro: 5 pontos de atenção,"Conheça as ferramentas digitais que utilizo na minha empresa para resolver problemas, tornar o...",Black Friday salva o ano do e-commerce,Degraus para o sucesso: a inovação no core do negócio,[Books] Biblioteca FIXE: Sugestões de Leitura
-6944500707172804068,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",O papel das startups dentro de um ecossistema de inovação em robótica - Startupi,Dez habilidades profissionais mais valorizadas em projetos de Internet das Coisas - CIO,Especialistas trazem tendências de UX para 2017 - KingHost
7208764727755771951,It's Official: 68 Million Dropbox Account Details Leaked Online,Microsoft is taking its cues from Facebook as it totally shakes up Office,"Dropbox open-sources Lepton, a compression algorithm that cuts JPEG file size by 22%",Microsoft wants to connect all your favorite apps with Flow,"Google Drive grows more powerful, feature by feature - TechRepublic"
3938645257702379823,How will bots make money? Here are 7 business models,To bot or not to bot,Introducing Mini Courses with MS Chatbots,TechCrunch launches a personalized news recommendations bot on Facebook Messenger,How to Start a Telegram Bot With PHP
1296936597887557880,Leveling Up Your JavaScript -,What to look for in a code review ,The Importance of Code Reviews,Writing good code: how to reduce the cognitive load of your code,The Joel Test: 12 Steps to Better Code
3302556033962996625,"Google anuncia MODE, pulseiras com tecnologia snap-and-swap para Android Wear | Google Discovery",Aplicativos do Android agora podem reagir com o ambiente | Google Discovery,Ouça a música criada pela inteligência artificial do Google | Google Discovery,Google lança experimentos com inteligência artificial | Google Discovery,Sons de animais na busca do Google | Google Discovery
2956253493737623301,Angular 2,How to make Multi-Layered Parallax Illustration with CSS & Javascript,Using artificial intelligence to revolutionize diabetes treatment,A Single App That'll Wrangle Your Millions of Messengers,How Facebook's Big Bet On Chatbots Might Remake The UX Of The Web
4313045637915476309,"Apple launches Safari Technology Preview, a browser for developers including experimental web features",[Tools] Trello Custom Fields: How To Maximize Your Board Workflow - Trello Blog,Browser Trends December 2016: Mobile Overtakes Desktop,Now sites can fingerprint you online even when you use multiple browsers,Leveling Up Your JavaScript -
8113324517692556322,Amazon just released a Dash button for AWS IoT,Amazon Widens Its Push-Button E-Commerce Horizons,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic",Amazon takes on PayPal and others with launch of Amazon Payments partner program,BEHOLD Amazon One - the first cargo airplane with that famous Amazon smile
7316935598591113280,Android irá recomendar aplicativos baseado na localização | Google Discovery,Inbox by Gmail ganha formatação de texto | Google Discovery,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery","Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery","Google anuncia MODE, pulseiras com tecnologia snap-and-swap para Android Wear | Google Discovery"
6644119361202586331,A new sales technology stack is coming,Two Different Sales Motions . . . .,Google lags behind Amazon and Microsoft's cloud in one important area,Building organizational capabilities: McKinsey Global Survey results,The surprising truth about which countries lead in digital
-5380862725077089346,Globant Acquires L4 to Strengthen its Lead Position in the Digital Services Space,Globant Recognized as a Worldwide Leader of Digital Strategy Consulting Services by IDC MarketScape report,The new tech talent you need to succeed in digital,The surprising truth about which countries lead in digital,Organizing for digital acceleration: Making a two-speed IT operating model work
2811220157680321451,A new sales technology stack is coming,Two Different Sales Motions . . . .,Google lags behind Amazon and Microsoft's cloud in one important area,Building organizational capabilities: McKinsey Global Survey results,The surprising truth about which countries lead in digital
801895594717772308,Corporate venture growth in Brazil is another sign of a mature tech ecosystem,Meet the new Brazilian consumer,Latin America's chronic inefficiency could drive more O2O commerce growth,Workplace diversity in Brazil: there's still a long way to go,B2B Ecommerce Growing; Becoming More Like B2C
-299809122140089170,Android irá recomendar aplicativos baseado na localização | Google Discovery,Inbox by Gmail ganha formatação de texto | Google Discovery,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery","Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery","Google anuncia MODE, pulseiras com tecnologia snap-and-swap para Android Wear | Google Discovery"
-8550167523008133722,Alphabet testará drones de entrega nos Estados Unidos,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",MOBILE TIME - Drones vão ajudar pequenos agricultores no Brasil,Branding é problema seu. E meu.,Por que o Walmart não é Walmart no Brasil
7645894863578715801,Spring Boot 1.4 released,Spring Boot 1.5.1 released,Combining Spring Boot and JDBI,Spring DAO vs Spring ORM vs Spring JDBC,"A Geospatial Messenger with Kotlin, Spring Boot and PostgreSQL"
-48161796606086482,Ray Kurzweil Predicts Three Technologies Will Define Our Future,Clippy's Back: The Future of Microsoft Is Chatbots,Introduction To Chatbots,Singapore bank wants you to talk to its chatbot to get your banking done,CHATBOTS EXPLAINED: Why businesses should be paying attention to the chatbot revolution
1623838599684589103,Microsoft Adds Ethereum to Windows Platform For Over 3 Million Developers - CoinDesk,The Rise And Growth of Ethereum Gets Mainstream Coverage,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",Microsoft Continues to Embrace Ethereum & Bitcoin - Bitcoin News,"For Blockchain VCs, the Time for Ethereum Investments Has Come - CoinDesk"
2873028073541627603,The Best Linux Distros of 2016,Linux at 25: Q&A With Linus Torvalds,C/C++ extension for Visual Studio Code,Windows Subsystem for Linux Overview,Developers can run Bash Shell and user-mode Ubuntu Linux binaries on Windows 10
-5094446514734487376,How to Install and Use the Linux Bash Shell on Windows 10,Bash on Ubuntu on Windows - Download Now!,​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet,Introducing Docker for Windows Server 2016 - Docker Blog,Windows 10 Anniversary SDK is bringing exciting opportunities to developers
1949009070102523745,Microsoft Adds Ethereum to Windows Platform For Over 3 Million Developers - CoinDesk,The Rise And Growth of Ethereum Gets Mainstream Coverage,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",Microsoft Continues to Embrace Ethereum & Bitcoin - Bitcoin News,"For Blockchain VCs, the Time for Ethereum Investments Has Come - CoinDesk"
1552716327012883348,Dries Buytaert,Drupal 8.1.0 is now available,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Drupal and ambitious digital experiences,The Risks and Rewards of Fully Decoupling Drupal | Acquia
-3596626804281480007,"Android N Developer Preview 2, out today! | Android Developers Blog",Final Developer Preview before Android 7.0 Nougat begins rolling out | Android Developers Blog,What to Expect at WWDC 2016,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Time to Re-Think Design Thinking
-5823562314929634489,Tango: See more with a new kind of phone,What SWAG will Google I/O 2016 attendees take home?,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",What the Google I/O schedule tells us about the future of Android,8 things to expect from Google's biggest event of the year
1748162647671155552,Mobile marketing statistics 2016,So long MVP. Hello Minimum Loveable Product.,22 Mobile Stats Everyone Should Know - DZone Mobile,This year's Founders' Letter,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine"
6013226412048763966,Cinco competências comportamentais para você ser um bom líder,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país","SINAIS do FUTURO imediato: #1, internet das coisas",Vídeos motivacionais: os 21 vídeos mais incríveis.
2416280733544962613,VR possibilities at Google I/O 2016: Four things I'm hoping to see,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,Diane Greene wants to put the enterprise front and center of Google Cloud strategy,"Google I/O 2016 preview: Android N, Android VR, Project Chirp, Play Store on Chromebooks and more!",Google Cloud Platform: The smart person's guide - TechRepublic
1317292353478724560,Iniciando com o Docker: Criando suas próprias imagens - Tableless,A Docker Fork: Talk of a Split Is Now on the Table - The New Stack,Your Docker Agenda for April,Automate Docker with the Remote API and Ruby,Containers - Clean up your House
6464364285286199002,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Today in Apple history: World prepares for the NeXT Computer | Cult of Mac,Today in Apple history: Steve Jobs passes away | Cult of Mac,Automation and anxiety,Request for Information: Preparing for the Future of Artificial Intelligence
1116121227607581999,Equal Pay Day in the spotlight this year,"In war for talent, 'brogrammers' will be losers",Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,The best-and worst-places to be a working woman,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube
5746645399823844475,Equal Pay Day in the spotlight this year,"In war for talent, 'brogrammers' will be losers",Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,The best-and worst-places to be a working woman,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube
8615245686887763683,[Books] Biblioteca FIXE: Sugestões de Leitura,Cinco competências comportamentais para você ser um bom líder,O que é liderança? Liderança é fazer a diversidade funcionar.,Dicas para aumentar produtividade: 14 dicas incríveis.,O tênue equilíbrio da equipe que desenha produtos digitais
-7606731662737258050,Equal Pay Day in the spotlight this year,"In war for talent, 'brogrammers' will be losers",Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,The best-and worst-places to be a working woman,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube
7948079555216525045,How Mobile Health Apps and Wearables Could Actually Make People Sicker,Half Your Brain Stands Guard When Sleeping In A New Place,Voice Search Could Become Mainstream Within the Next 5 Years,Johnson & Johnson Targets 85% of Apps in Cloud by 2018,"Millennials Don't Care About Owning Cars, And Car Makers Can't Figure Out Why"
1070632260016389736,"Big data, big differentiators: this week on Google Cloud Platform","Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog",Spark fragmentation undermines community,Making Apache Spark Easier to Use in Java with Java 8 - Cloudera Engineering Blog,Spark comparison: AWS vs. GCP
-1863544689523892600,Equal Pay Day in the spotlight this year,"In war for talent, 'brogrammers' will be losers",Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,The best-and worst-places to be a working woman,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube
-6878112296616605612,How Mobile Health Apps and Wearables Could Actually Make People Sicker,Half Your Brain Stands Guard When Sleeping In A New Place,Voice Search Could Become Mainstream Within the Next 5 Years,Johnson & Johnson Targets 85% of Apps in Cloud by 2018,"Millennials Don't Care About Owning Cars, And Car Makers Can't Figure Out Why"
-4309872815953358011,How Mobile Health Apps and Wearables Could Actually Make People Sicker,Half Your Brain Stands Guard When Sleeping In A New Place,Voice Search Could Become Mainstream Within the Next 5 Years,Johnson & Johnson Targets 85% of Apps in Cloud by 2018,"Millennials Don't Care About Owning Cars, And Car Makers Can't Figure Out Why"
1560134519462672730,Equal Pay Day in the spotlight this year,"In war for talent, 'brogrammers' will be losers",Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,The best-and worst-places to be a working woman,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube
-1799631734242668035,[Books] Biblioteca FIXE: Sugestões de Leitura,Cinco competências comportamentais para você ser um bom líder,O que é liderança? Liderança é fazer a diversidade funcionar.,Dicas para aumentar produtividade: 14 dicas incríveis.,O tênue equilíbrio da equipe que desenha produtos digitais
3743121668889758064,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,7 motivos para você acordar às 5 da manhã - Tudo Pela Arte,Vídeos motivacionais: os 21 vídeos mais incríveis.,O que é benchmarking? Veja quando um concorrente se torna inspiração!
8656322302973426874,A Baseline for Hybrid Mobile Developers,20+ Docs and Guides for Front-end Developers (No. 9),Leveling Up Your JavaScript -,15 Interesting JavaScript and CSS Libraries for September 2016,Spotify's Latest Algorithmic Playlist Is Full of Your Favorite New Music
-5131518539710081313,Automate Docker with the Remote API and Ruby,Containers - Clean up your House,A Docker Fork: Talk of a Split Is Now on the Table - The New Stack,Your Docker Agenda for April,"Use Docker to build, test and push your Artifacts"
6735372008307093370,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,7 motivos para você acordar às 5 da manhã - Tudo Pela Arte,Vídeos motivacionais: os 21 vídeos mais incríveis.,O que é benchmarking? Veja quando um concorrente se torna inspiração!
